METADATA BEGINNING,,,,,,,,,
SampleID,Species,Date of collection,Latitude,Longitude,Elevation (m),Region,Continent,Locality,Habitat
SCL-15-7,Adineta sp.,7/1/2015,69.338889,154.996944,14,Arctic,Asia,"Russian Federation, Sakha (Yakutia) Republic, Srednekolymskiy Ulus, river Alazeya valley",
BJO1604,Adineta cf. vaga,7/15/2016,74.4836111,18.9791667,2,Arctic,Europe,"Svalbard, Bjornoya island",lichen
CHI16239_1,Adineta cf. vaga,8/5/2015,26.5416667,99.8866944,2299,Temporal,Asia,"China, Yunnan province, Jianchuan",terrestrial moss
CHI16239_2,Adineta cuneata,8/5/2015,26.5416667,99.8866944,2299,Temporal,Asia,"China, Yunnan province, Jianchuan",terrestrial moss
CZ1612,Adineta cf. oculata,7/5/2016,49.0756861,13.3986611,1095,Temporal,Europe,"Czech Republic, Plzeňský kraj, Klatovy district, Prášilské Lake",sediment from lake
IT1633,Adineta sp.,1/28/2016,36.7780556,11.9988889,710,Temporal,Europe,"Italy, Isola di Pantelleria, Scauri",moss in the volcanic opening
PL1601,Adineta steineri,7/31/2016,50.0947528,18.2643917,187,Temporal,Europe,"Poland, Lower Silesia, in the vicinity of Raciborz",terrestrial moss
PL1603,Adineta steineri,7/31/2016,50.0947528,18.2643917,187,Temporal,Europe,"Poland, Lower Silesia, in the vicinity of Raciborz",terrestrial moss
Unamur,Adineta cf. vaga,NA,NA,NA,NA,Temporal,Europe,"lab culture from the Karin Van Doninck's lab, University of Namur, Belgium (unknown origin)",NA
US1601,Adineta glauca,8/15/2016,55.0687472,-131.6099083,37,Arctic,North America,"USA, Alaska, Annette Island",soil
US1602,Adineta cf. tuberculosa,3/10/2016,39.1730556,-77.2719917,130,Temporal,North America,"USA, Maryland, Germantown",lichen
METADATA END,,,,,,,,,
SampleID,Plate,Individual,Survival,,,,,,
PL1603,1,I1,0,,,,,,
PL1603,1,I2,0,,,,,,
PL1603,1,I3,0,,,,,,
PL1603,1,I4,0,,,,,,
PL1603,1,I5,0,,,,,,
PL1603,1,I6,0,,,,,,
PL1603,1,I7,0,,,,,,
PL1603,1,I8,0,,,,,,
PL1603,1,I9,0,,,,,,
PL1603,1,I10,0,,,,,,
PL1603,1,I11,0,,,,,,
PL1603,1,I12,0,,,,,,
PL1601,2,I1,0,,,,,,
PL1601,2,I2,0,,,,,,
PL1601,2,I3,0,,,,,,
PL1601,2,I4,0,,,,,,
PL1601,2,I5,0,,,,,,
PL1601,2,I6,0,,,,,,
PL1601,2,I7,0,,,,,,
PL1601,2,I8,0,,,,,,
PL1601,2,I9,0,,,,,,
PL1601,2,I10,0,,,,,,
PL1601,2,I11,0,,,,,,
PL1601,2,I12,0,,,,,,
PL1603,3,I1,0,,,,,,
PL1603,3,I2,1,,,,,,
PL1603,3,I3,0,,,,,,
PL1603,3,I4,0,,,,,,
PL1603,3,I5,0,,,,,,
PL1603,3,I6,0,,,,,,
PL1603,3,I7,0,,,,,,
PL1603,3,I8,0,,,,,,
PL1603,3,I9,1,,,,,,
PL1603,3,I10,1,,,,,,
PL1603,3,I11,0,,,,,,
PL1603,3,I12,0,,,,,,
PL1603,4,I1,0,,,,,,
PL1603,4,I2,0,,,,,,
PL1603,4,I3,0,,,,,,
PL1603,4,I4,0,,,,,,
PL1603,4,I5,0,,,,,,
PL1603,4,I6,0,,,,,,
PL1603,4,I7,1,,,,,,
PL1603,4,I8,0,,,,,,
PL1603,4,I9,0,,,,,,
PL1603,4,I10,1,,,,,,
PL1603,4,I11,0,,,,,,
PL1603,4,I12,0,,,,,,
Unamur,5,I1,1,,,,,,
Unamur,5,I2,0,,,,,,
Unamur,5,I3,0,,,,,,
Unamur,5,I4,0,,,,,,
Unamur,5,I5,1,,,,,,
Unamur,5,I6,0,,,,,,
Unamur,5,I7,0,,,,,,
Unamur,5,I8,1,,,,,,
